COUNTY,2015 COUNT,2016 COUNT,2017 COUNT,2018 COUNT,2015 RATE,2016 RATE,2017 RATE,2018 RATE
Apache,22,14,27,39,-,-,-,-
Cochise,27,17,19,27,-,-,-,-
Coconino,19,23,20,30,-,-,-,-
Gila,11.0,14,11,17,-,-,-,-
Graham,16,12,13,15,-,-,-,-
Greenlee,2,0,1,1,-,-,-,-
La Paz,7.0,4,5,1,-,-,-,-
Maricopa,557,448,425,525,-,-,-,-
Mohave,27.0,14,8,21,-,-,-,-
Navajo,54,27,27,45,-,-,-,-
Pima,222,170,174,223,-,-,-,-
Pinal,105,71,68,106,-,-,-,-
Santa Cruz,16.0,16,10,22,-,-,-,-
Yavapai,29,34,37,45,-,-,-,-
Yuma,29,35,29,32,-,-,-,-
