FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,40
12003,BAKER,12
12005,BAY,6
12011,BROWARD,74
12013,CALHOUN,8
12017,CITRUS,176
12021,COLLIER,51
12023,COLUMBIA,30
12033,ESCAMBIA,49
12041,GILCHRIST,107
12049,HARDEE,22
12053,HERNANDO,14
12057,HILLSBOROUGH,22
12063,JACKSON,44
12065,JEFFERSON,49
12071,LEE,16
12075,LEVY,67
12081,MANATEE,29
12083,MARION,69
12085,MARTIN,11
12086,MIAMI-DADE,286
12089,NASSAU,12
12091,OKALOOSA,52
12093,OKEECHOBEE,61
12095,ORANGE,72
12105,POLK,33
12107,PUTNAM,64
12109,ST. JOHNS,58
12113,SANTA ROSA,3
12117,SEMINOLE,3
12119,SUMTER,81
12121,SUWANNEE,52
12125,UNION,6
12127,VOLUSIA,60
12131,WALTON,794
12133,WASHINGTON,63
